coordonnees;date
-0.8653072543632129;2015-03-08
-0.8565509959010106;2015-03-09
-0.8475409228928383;2015-03-10
-0.8382797052177817;2015-03-11
-0.8287700871745114;2015-03-12
-0.8190148866680879;2015-03-13
-0.8090169943749556;2015-03-14
-0.7987793728863734;2015-03-15
-0.7883050558305341;2015-03-16
-0.7775971469736358;2015-03-17
-0.7666588193001683;2015-03-18
-0.7554933140726897;2015-03-19
-0.7441039398713704;2015-03-20
-0.7324940716135887;2015-03-21
-0.7206671495538712;2015-03-22
-0.7086266782644701;2015-03-23
-0.6963762255968828;2015-03-24
-0.6839194216246215;2015-03-25
-0.6712599575675426;2015-03-26
-0.6584015846980603;2015-03-27
-0.6453481132295615;2015-03-28
-0.6321034111873598;2015-03-29
-0.6186714032625145;2015-03-30
-0.6050560696488599;2015-03-31
-0.591261444863589;2015-04-01
-0.5772916165517379;2015-04-02
-0.5631507242749291;2015-04-03
-0.5488429582847295;2015-04-04
-0.5343725582809891;2015-04-05
-0.5197438121555255;2015-04-06
-0.5049610547215302;2015-04-07
-0.4900286664290687;2015-04-08
-0.47495107206705955;2015-04-09
-0.45973273945211324;2015-04-10
-0.44437817810462216;2015-04-11
-0.42889193791249214;2015-04-12
-0.4132786077829125;2015-04-13
-0.39754281428256394;2015-04-14
-0.3816892202666668;2015-04-15
-0.36572252349727663;2015-04-16
-0.34964745525123575;2015-04-17
-0.33346877891819376;2015-04-18
-0.31719128858911266;2015-04-19
-0.30081980763567395;2015-04-20
-0.28435918728100956;2015-04-21
-0.26781430516217997;2015-04-22
-0.25119006388482473;2015-04-23
-0.23449138957041485;2015-04-24
-0.21772323039653657;2015-04-25
-0.20089055513063964;2015-04-26
-0.18399835165768422;2015-04-27
-0.167051625502123;2015-04-28
-0.15005539834465612;2015-04-29
-0.133014706534199;2015-04-30
-0.1159345995955033;2015-05-01
-0.09882013873287389;2015-05-02
-0.08167639533042464;2015-05-03
-0.06450844944931802;2015-05-04
-0.047321388322433204;2015-05-05
-0.030120304846909248;2015-05-06
-0.012910296075009731;2015-05-07
0.004303538296243821;2015-05-08
0.021516097436222233;2015-05-09
0.03872228089217488;2015-05-10
0.05591699010060391;2015-05-11
0.07309512989807863;2015-05-12
0.09025161003104247;2015-05-13
