"CM1" "CM2" "CM3" "CM4" "CM5" "CM6" "CM7" "CM8" "CM9" "CM10" "CM11" "CM12" "CM13" "CM14" "CM15" "CM16" "CM17" "CM18" "CM19" "CM20" "CM21" "CM22" "CM23" "CM24" "CM25" "CM26" "CM27" "CM28" "CM29" "CM30" "CM31" "CM32" "CM33" "CM34" "CM35" "CM36" "CM37" "CM38" "CM39" "CM40" "CM41" "CM42" "CM43" "CM44" "CM45" "CM46" "CM47" "CM48" "CM49" "CM50" "CM51" "CM52" "CM53" "CM54" "CM55" "CM56" "CM57" "CM58" "CM59" "CM60" "CM61" "CM62" "CM63" "CM64" "CM65" "CM66" "CM67" "CM68" "CM69" "CM70" "CM71" "CM72"
"Aprr" 12.125238095 16.736666667 21.31 20.534444444 18.081818182 19.267142857 20.6095 19.777826087 19.066666667 18.790909091 20.109545455 19.605263158 19.405454545 22.103 21.699545455 20.223157895 21.475454545 22.0885 20.323636364 18.479130435 15.416 15.845652174 16.885 16.885 18.035454545 17.649 17.6675 16.886190476 17.292272727 16.057 15.579565217 15.077272727 15.332857143 15.438695652 15.593333333 15.4345 14.916363636 12.5545 12.627142857 13.9305 12.342857143 12.606666667 11.783043478 12.08952381 12.102727273 12.156086957 13.668 14.06 15.056666667 15.7075 15.617391304 16.0425 15.576666667 15.872727273 16.479090909 16.968181818 17.515454545 17.501428571 17.548181818 18.094347826 20.005714286 22.3445 23.154285714 23.486666667 24.456363636 25.445 27.070952381 26.977391304 28.420454545 29.221904762 30.278181818 32.23952381
"Arcelor" 11.254736842 11.013157895 12.641428571 12.525555556 11.712272727 11.630526316 12.78 12.729375 12.899444444 11.613 11.203 9.989375 10.0505 9.1233333333 8.1036363636 7.4115789474 7.3089473684 6.8305263158 6.1666666667 6.0865 5.2663157895 4.167826087 3.6763636364 3.2105555556 3.3686363636 5.522 5.6345 5.3819047619 4.4795454545 4.036 3.4995652174 3.3763636364 2.9419047619 2.3226086957 2.3847619048 2.346 2.3322727273 2.186 2.0980952381 2.057 2.1033333333 2.0861904762 2.0843478261 2.1547619048 2.1495454545 2.1252173913 2.09 2.0461904762 2.0433333333 2.0745 1.9965217391 1.975 1.6938095238 1.4931818182 1.4454545455 1.2068181818 1.1272727273 2.1858333333 3.0776190476 2.6886956522 2.7471428571 2.6425 2.6357142857 2.7166666667 2.5236363636 2.54 2.46 2.7917391304 2.8372727273 2.7715 2.6245454545 2.5338095238
"Arkopharma" 111.65714286 133.15714286 138.15652174 163.9 167.05454545 157.4 148.81 142.33913043 146.69047619 137.76818182 148.92727273 185.12105263 189.53636364 203.685 184.83181818 190.34736842 230.60454545 221.8 206.37272727 174.55217391 142.395 135.87826087 145.7 155.28888889 165.7 176.05 186.55 193.88571429 186.11363636 183.265 172.97826087 161.1 153.2 136.56956522 153.98095238 143.31 144.53636364 132.21 135.25238095 148.945 167.64761905 180.85714286 172.98695652 178.71428571 186.64090909 191.06521739 191.82 195.07142857 211.40952381 219.12 214.86086957 226.87 211.58095238 226.41363636 235.36818182 244.90454545 263.05454545 282.9952381 284.45 313.8826087 327.13809524 318.005 351.26190476 325.67142857 318.89545455 347.36818182 380.01428571 381.92173913 419.27727273 413.91904762 392.21818182 395.15714286
"Artois-N" 7.7242857143 7.5723809524 7.6543478261 7.7138888889 8.0677272727 8.9961904762 9.7285 10.572608696 11.158571429 12.09 15.646818182 16.513684211 16.160454545 15.039 14.55 15.095263158 15.555909091 16.081 15.731818182 16.801304348 15.5605 14.226521739 14.477272727 14.905 16.143636364 15.9055 15.424 16.931904762 17.408181818 17.865 16.564782609 15.065909091 14.322380952 13.198695652 13.570952381 12.784 12.843181818 12.7065 11.736190476 11.893 12.746666667 14.293333333 13.29826087 13.432380952 13.664090909 13.599130435 14.2465 14.237142857 14.59952381 14.532 15.88173913 16.471 16.555714286 16.675454545 16.723181818 16.174545455 16.274090909 16.693809524 17.105454545 16.71173913 15.698571429 15.153 13.731904762 14.05952381 13.898636364 14.827272727 14.679047619 13.862608696 13.343181818 13.904761905 13.871818182 13.724761905
"AST-G" 45.641428571 70.102380952 73.384782609 50.502777778 51.551818182 52.654761905 47.483 51.164347826 57.983333333 50.747727273 58.552272727 53.155263158 52.185909091 56.8225 51.934545455 48.410526316 50.126818182 48.5155 40.421818182 39.596956522 28.837 28.036521739 33.028636364 35.526111111 33.959545455 32.8265 36.928 40.986666667 33.288636364 23.48 20.070434783 14.825909091 10.406666667 8.62 9.7261904762 9.7595 8.0204545455 6.6855 5.7066666667 5.8115 8.2257142857 9.9471428571 9.0365217391 10.784761905 12.227727273 12.504285714 15.693 15.022857143 16.377619048 17.343 16.502608696 16.041 15.949047619 15.546818182 15.024090909 12.584090909 12.699090909 13.935238095 14.867727273 14.716086957 15.886666667 17.385 18.857142857 17.714285714 17.213181818 17.731363636 18.298095238 20.3 21.872727273 19.615714286 19.083636364 20.071904762
"Aubay" 156.28571429 159.54285714 159.60434783 118 112.92272727 107.96904762 101.8725 108.92272727 114.01428571 102.13181818 92.552272727 76.663157895 86.188636364 103.775 95.809090909 86.842105263 96.463636364 88.6725 79.590909091 88.476086957 75.0325 77.084782609 79.875 75.994444444 80.047727273 82.8525 89.185 85.221428571 69.015909091 62.1025 52.616956522 39.403181818 31.873809524 28.17 33.74 27.8325 26.322727273 25.605 25.987619048 27.974 29.856190476 32.17047619 34.507826087 36.946666667 48.780454545 54.215652174 55.7675 52.453333333 54.90952381 56.095 52.809565217 53.71 47.102380952 49.161363636 48.186363636 44.604090909 45.986818182 46.084761905 50.596818182 49.843043478 50.388095238 52.721 53.24047619 49.825238095 48.817272727 51.009090909 55.3 58.254347826 59.245454545 57.883333333 57.481818182 56.645238095
"Audika" 31.115714286 43.873809524 57.347727273 40.913333333 39.639545455 40.962380952 33.281 25.17173913 28.517142857 21.857272727 22.597727273 17.586842105 16.952272727 17.454 15.541818182 10.562105263 11.414090909 8.8215 8.3981818182 7.6430434783 4.5625 4.5086956522 4.5109090909 4.055 3.9331818182 4.0365 4.291 4.2004761905 3.5490909091 2.5075 2.2739130435 1.7813636364 1.3114285714 1.0326086957 1.7319047619 1.818 1.5795454545 1.3575 1.3128571429 1.475 2.330952381 2.7771428571 2.7269565217 2.860952381 3.4077272727 3.5504347826 3.653 3.6238095238 3.6933333333 3.841 3.4834782609 3.656 3.6419047619 3.5981818182 3.4895454545 3.3645454545 3.3927272727 3.6157142857 3.7881818182 3.8026086957 3.919047619 4.4075 4.2742857143 4.3852380952 4.3081818182 4.4540909091 4.6566666667 4.8430434783 5.345 5.6528571429 5.7177272727 5.5880952381
"Aufeminin" 3.149047619 3.4766666667 3.8436363636 3.8472222222 3.6281818182 3.5552380952 3.483 3.7439130435 3.6695238095 3.6581818182 4.5045454545 4.7484210526 4.8254545455 5.6855 6.8181818182 6.7121052632 7.3868181818 8.4705 8.0672727273 8.4726086957 7.436 7.6673913043 8.4327272727 8.6827777778 8.8281818182 9.1955 9.3575 10.365714286 11.080454545 11.178 10.153043478 9.885 8.9314285714 8.8708695652 10.626666667 9.9205 9.2481818182 9.0465 7.980952381 9.578 9.5185714286 10.352857143 10.725217391 10.754285714 12.205909091 13.07 13.5365 13.036190476 13.087142857 13.1455 14.509565217 15.3445 15.424761905 16.873181818 18.497727273 17.824090909 17.842727273 18.867619048 21.793636364 25.14826087 25.414761905 22.7215 21.933809524 22.267142857 22.370454545 22.020454545 19.991904762 18.551304348 19.875 19.268095238 17.641818182 17.15952381
"Ausy" 19.34047619 24.244761905 32.256521739 24.250555556 24.174545455 20.987619048 19.665 19.146521739 21.127142857 20.808636364 20.136363636 16.842105263 16.755 16.827894737 16.343809524 16.716842105 18.710909091 18.9855 16.817272727 13.985217391 10.758421053 10.354347826 9.8077272727 9.1111111111 9.009047619 9.1063636364 8.9773333333 8.7863157895 8.3610526316 8.5563157895 6.1771428571 4.2010526316 4.3204761905 4.0665217391 4.809047619 5 4.5704545455 4.2123529412 4.17625 4.1289473684 6.0376190476 6.7314285714 6.6447826087 6.7914285714 6.7057142857 6.3795652174 7.2925 8.1285 9.8495238095 13.6795 13.31173913 14.284 14.751428571 13.57 14.434545455 13.621904762 14.733181818 17.970952381 17.229545455 16.977826087 19.977142857 24.344 24.571904762 24.324285714 23.718636364 22.945909091 24.421428571 23.306086957 24.496818182 27.015714286 25.176363636 24.565714286
"Automa-T" 58.95 72.2475 98.64 68.394117647 58.706818182 54.81 51.7275 48.125652174 47.93047619 34.944545455 28.032272727 26.727368421 30.932727273 30.2225 30.765909091 33.309473684 34.100454545 33.3075 29.447727273 27.51826087 17.225 19.325217391 21.155909091 21.193888889 21.484545455 18.4185 17.5 16.93 15.363 11.502 8.7134782609 7.5147368421 6.4357142857 3.417826087 4.1242857143 4.3857894737 3.67 3.017 2.5228571429 2.7015 3.8480952381 3.8123809524 3.682173913 3.7480952381 4.5354545455 3.8143478261 5.5175 5.590952381 5.6657142857 5.76 5.9491304348 5.6305 5.680952381 5.3831818182 6.9990909091 7.4436363636 7.6859090909 7.6052380952 7.7490909091 7.9986956522 9.9676190476 10.949 11.34952381 10.31047619 9.7263636364 10.052727273 9.92 11.227826087 11.875 13.027142857 12.361363636 11.796190476
