"CM1" "CM2" "CM3" "CM4" "CM5" "CM6" "CM7" "CM8" "CM9" "CM10" "CM11" "CM12" "CM13" "CM14" "CM15" "CM16" "CM17" "CM18" "CM19" "CM20" "CM21" "CM22" "CM23" "CM24" "CM25" "CM26" "CM27" "CM28" "CM29" "CM30" "CM31" "CM32" "CM33" "CM34" "CM35" "CM36" "CM37" "CM38" "CM39" "CM40" "CM41" "CM42" "CM43" "CM44" "CM45" "CM46" "CM47" "CM48" "CM49" "CM50" "CM51" "CM52" "CM53" "CM54" "CM55" "CM56" "CM57" "CM58" "CM59" "CM60" "CM61" "CM62" "CM63" "CM64" "CM65" "CM66" "CM67" "CM68" "CM69" "CM70" "CM71" "CM72"
"GI-Event" 21.297619048 20.688421053 21.107826087 23.033888889 23.838571429 25.017142857 25.594210526 24.713913043 25.742857143 25.022272727 22.975909091 24.673157895 24.745909091 24.897 25.855454545 24.354210526 24.425454545 24.663 24.146363636 23.569130435 24.4375 24.145217391 22.187272727 21.664444444 24.020454545 21.707 25.4805 25.845714286 25.419545455 24.9 24.439130435 24.304545455 25.441428571 24.86826087 25.216190476 24.5 25.007272727 25.292105263 24.49047619 24.818 25.447619048 25.053333333 24.798181818 24.802380952 23.70875 23.46 24.227368421 23.835 23.848947368 23.566315789 23.273043478 22.884 23.503684211 23.844090909 23.584545455 23.363333333 20.286666667 19.126190476 18.1875 21.597826087 22.565714286 20.9355 18.40047619 18.16952381 18.077727273 17.406818182 19.703809524 18.865217391 18.431818182 17.911428571 19.730909091 22.416190476
"Gl-Trade" 12.2495 12.296190476 16.696521739 16.319444444 17.163181818 19.602857143 21.176 21.67826087 23.367619048 22.415454545 22.770909091 23.811578947 23.079090909 23.171 23.250909091 23.151578947 24.482727273 25.2315 25.740909091 23.474782609 13.3235 10.226086957 11.027272727 12.523888889 15.914090909 17.5515 18.2935 17.913333333 17.892272727 18.1585 17.095217391 16.192727273 14.607142857 12.686521739 14.47952381 15.3185 15.044545455 13.7875 12.014285714 11.6625 13.397619048 14.320952381 14.476956522 16.361904762 17.011363636 17.155652174 17.3605 17.258571429 18.975238095 19.4255 19.362173913 19.2655 18.758095238 18.853636364 19.521818182 17.491363636 17.654545455 18.12047619 19.224545455 19.517391304 20.976666667 22.072 22.4 22.606190476 23.243181818 24.412727273 23.55952381 25.233478261 25.901818182 25.278571429 25.967727273 28.547619048
"Diffusion" 23.301428571 30.304285714 48.47 47.605 54.593181818 57.285714286 52.5225 49.80826087 54.485714286 47.388636364 43.513181818 36.351052632 35.802727273 38.1545 29.907272727 30.466315789 38.901363636 41.3535 36.148636364 35.835217391 34.2245 40.795652174 39.133636364 40.249444444 41.793636364 42.7395 47.646 47.718571429 49.586363636 48.8825 42.283043478 42.838181818 34.187142857 34.350869565 34.95 32.286 35.058636364 32.204 28.76047619 32.8825 31.053333333 28.767619048 28.287391304 30.02952381 29.657272727 27.993043478 32.807 32.547 32.23952381 33.379 32.152608696 32.0825 31.791428571 30.065909091 30.617272727 28.701428571 28.345454545 26.67 28.833181818 32.943913043 33.284761905 35.645 33.902380952 32.26952381 33.320909091 33.298181818 33.823809524 33.784782609 36.175454545 37.127142857 35.424090909 34.904285714
"Crit" 11.722 17.951111111 21.805454545 17.485 16.221818182 16.887619048 14.026 13.82 15.459047619 10.302272727 9.9577272727 9.2415789474 10.333636364 10.175 8.7877272727 8.8710526316 10.908181818 10.67 8.9886363636 8.5713043478 6.4845 6.5169565217 7.5036363636 8.6511111111 8.8686363636 8.4195 8.207 8.020952381 7.8586363636 7.365 6.1391304348 4.6436363636 3.8447619048 3.402173913 4.05 3.924 3.7459090909 3.166 3.0671428571 3.201 3.8376190476 3.8685714286 3.8426086957 3.9728571429 3.935 3.6056521739 3.804 3.9028571429 4.330952381 5.1365 4.59 4.5935 4.4528571429 4.8113636364 5.0227272727 4.845 4.7313636364 4.6257142857 4.5240909091 4.9047826087 5.7871428571 6.204 5.7657142857 5.6404761905 5.5722727273 5.3972727273 4.4066666667 4.562173913 4.6495454545 4.1266666667 3.6409090909 3.0219047619
"Duarte" 12.517142857 18.22 23.673913043 24.078888889 31.745454545 30.738095238 29.428 29.397391304 30.063809524 28.389090909 27.265454545 27.392631579 29.231818182 27.589 25.149545455 22.044736842 21.42 17.8105 17.666363636 15.223478261 13.7825 12.731304348 14.160909091 19.852222222 22.612727273 23.439 25.385 24.817619048 26.822272727 24.9255 25.03 21.042272727 13.279047619 9.8334782609 13.838571429 13.506 12.169090909 10.4875 8.6328571429 8.8425 10.848571429 13.954285714 14.133043478 18.255714286 17.618181818 14.992608696 16.4905 15.573333333 18.535238095 18.4125 18.302608696 18.723 17.733809524 18.645909091 18.749090909 17.806818182 17.748636364 17.419047619 18.305454545 17.955652174 21.045714286 23.786 26.002857143 23.572857143 22.588636364 23.486818182 24.322857143 25.740434783 26.185454545 27.796190476 27.411818182 26.807142857
"G-Flo" 8.342 9.3123809524 8.8965217391 8.8394117647 9.0452380952 8.4038888889 8.6294736842 8.9545454545 8.546 7.7010526316 7.2376190476 7.2933333333 7.0304545455 7.7975 8.8885714286 8.1115789474 8.3254545455 7.6025 6.8715 5.6065217391 4.4105 3.79 4.290952381 5.2693333333 4.5235 4.3215789474 4.2216666667 4.73 4.623 3.99625 3.1131578947 2.8416666667 2.5628571429 2.7991304348 2.93 2.3463157895 2.9118181818 3.151 3.0261904762 3.429 3.3947619048 3.1885714286 3.1795652174 3.16 3.1572727273 2.6027272727 2.6525 2.513 2.4538095238 2.5595 2.6086956522 2.5835 2.5419047619 2.7704545455 2.6940909091 2.6340909091 2.4213636364 1.6747619048 1.8354545455 1.4239130435 1.330952381 1.2 1.2933333333 1.1523809524 1.129047619 1.135 1.0984210526 1.0465217391 1.0611111111 1.0005 0.9541666667 0.6973333333
"G-Gasc" 38.818095238 35.276190476 35.23173913 34.706666667 37.335 40.625238095 35.2775 36.058695652 37.722857143 34.479545455 30.247272727 26.973157895 32.554090909 28.336 25.460909091 23.505263158 27.699090909 26.056 26.373181818 25.742608696 17.9495 18.707391304 21.064545455 19.842222222 19.074545455 18.963 18.8 16.795238095 19.019090909 19.7715 18.430434783 20.436818182 17.838095238 12.413913043 10.853333333 10.92 9.6868181818 7.2175 5.2247619048 4.819 3.9657142857 4.1285714286 4.3056521739 4.3419047619 4.8690909091 3.5539130435 3.1035 3.5833333333 3.6504761905 4.091 4.3265217391 4.379 4.3485714286 4.3122727273 4.3118181818 4.07 4.2590909091 4.4204761905 4.8495454545 5.2873913043 5.9761904762 6.4115 6.5757142857 6.8338095238 6.9886363636 7.5477272727 7.48 7.0908695652 7.3068181818 7.9295238095 7.5609090909 6.9647619048
"G-Jaj" 25.174761905 23.91047619 23.755217391 22.42 26.911818182 26.177619048 24.864 25.594545455 27.053809524 23.304090909 24.225909091 23.188947368 23.72 25.1985 24.620454545 27.670526316 30.662727273 31.5475 31.668636364 31.705909091 28.564 28.136086957 28.020454545 29.181666667 30.361363636 31.352 34.454 41.088571429 43.388636364 42.589 42.313181818 39.612727273 39.102380952 40.034782609 44.521428571 46.9715 48.157272727 45.396 39.83047619 47.5955 48.178571429 53.761904762 56.939130435 63.60952381 62.121428571 66.55 67.665 67.826190476 73.597619048 76.115 82.57826087 76.1 67.465 66.807142857 64.354545455 61.427272727 61.713636364 50.289047619 51.2 54.939130435 58.580952381 62.2475 66.085714286 65.028571429 62.325 61.025 59.569047619 60.895652174 59.568181818 58.076190476 57.711363636 58.376190476
"Partouche" 9.5165 22.91 22.798181818 15.737058824 12.118181818 9.6847619048 8.629 7.5830434783 9.7266666667 6.2127272727 5.3609090909 3.9978947368 4.4159090909 5.2325 4.1690909091 3.8215789474 4.3477272727 3.7705 3.3227272727 3.5765217391 3.4105 3.3934782609 4.265 4.5377777778 5.2313636364 5.7105 6.31 6.0928571429 5.7859090909 5.3455 4.7256521739 4.5759090909 3.6276190476 3.5704347826 4.0133333333 4.1365 4.3468181818 3.921 3.7914285714 4.113 4.3942857143 5.350952381 5.3160869565 5.7876190476 7.28 8.1691304348 8.9515 8.5423809524 8.9295238095 9.426 9.0939130435 9.84 10.1035 10.563181818 9.8327272727 9.3904545455 8.9727272727 8.3019047619 8.7490909091 9.0617391304 11.6975 13.7415 13.699047619 13.374761905 12.544090909 13.293636364 13.260952381 11.732608696 11.444090909 11.566190476 12.065909091 12.23952381
"Pizzorno" 12.05047619 10.703809524 10.912173913 10.708888889 10.074545455 10.289047619 10.793 9.7534782609 9.1557142857 8.0777272727 8.1795454545 7.6542105263 8.6322727273 9.4475 9.5018181818 9.7352631579 9.8840909091 10.2695 11.057727273 9.7686956522 8.6075 8.7782608696 8.6131818182 9.5938888889 9.7619047619 9.7968421053 10.756 11.175238095 11.065909091 11.434 11.658695652 11.68 9.890952381 9.1343478261 9.4876190476 8.6075 8.4009090909 8.2715 6.1104761905 6.177 7.760952381 8.2042857143 8.7104347826 8.6280952381 9.8736363636 10.418695652 10.8905 11.1275 11.928095238 11.87 15.585652174 16.998 17.99952381 16.146818182 15.021363636 13.961818182 14.427272727 14.800952381 14.295454545 14.273913043 15.638571429 16.74 16.008571429 16.421904762 15.215454545 14.487727273 14.15952381 14.133913043 13.918181818 14.435714286 13.705454545 14.535714286
"Steria" 38.460952381 99.972941176 119.02608696 75.875 63.972727273 67.666666667 58.4175 61.304347826 76.319047619 65.968181818 69.438636364 57.631578947 58.025 60.6375 49.910454545 42.154736842 53.95 42.2125 27.291818182 26.206086957 18.7415 23.782608696 23.385 22.423333333 21.481818182 16.474 16.0435 14.198095238 9.9590909091 7.818 6.3773913043 5.1277272727 4.1828571429 3.5252173913 4.169047619 4.7255 4.0363636364 3.3725 2.7961904762 2.967 3.7147619048 4.369047619 4.0252173913 4.0057142857 4.4518181818 4.2530434783 4.97 5.1647619048 6.57 8.554 7.9565217391 7.8335 7.6657142857 7.7404545455 7.6068181818 6.9704545455 6.9345454545 7.2404761905 7.9068181818 8.537826087 9.33 11.402 11.174285714 10.857619048 10.29 10.956818182 11.018095238 11.318695652 11.535909091 13.24 12.87 14.997142857
"Guerbet" 40.337619048 58.621052632 82.58826087 64.137777778 57.367272727 60.495238095 57.289 53.233043478 52.95047619 47.975454545 46.408181818 38.457368421 41.292272727 50.0195 45.553181818 43.948947368 44.325909091 39.584 36.185909091 36.628695652 26.577 26.23173913 29.159545455 30.938 32.187727273 30.616 35.964 36.39 29.501818182 20.0135 14.564347826 14.498636364 10.861904762 8.71 12.984761905 12.8585 13.044090909 12.9625 11.562857143 13.758 16.552857143 18.244761905 18.548695652 18.53047619 23.030454545 26.798695652 29.417 30.406190476 31.63952381 30.532 28.934347826 28.9675 27.086190476 28.524090909 26.574090909 24.506818182 24.251363636 27.057619048 29.341363636 28.732173913 30.594761905 32.9575 30.848095238 31.02047619 30.445 30.054090909 33.817619048 37.850434783 42.637272727 43.892380952 42.625 41.941428571
"Guillemot" 21.807142857 18.702857143 18.369565217 19.418888889 21.103636364 21.6015 19.880526316 20.757727273 19.704285714 16.898636364 16.473636364 17.050526316 18.438181818 18.014736842 17.832272727 17.572105263 18.314285714 18.537368421 18.815454545 19.106818182 19.804 23.291363636 22.144761905 21.990555556 24.350952381 26.5925 30.15 30.997142857 34.967272727 36.4895 35.759565217 32.602857143 30.864 27.34952381 29.428421053 30.454 31.324090909 32.195555556 32.425714286 30.932 33.871875 36.1415 36.44826087 37.202380952 37.908181818 43.04826087 43.552222222 42.135714286 42.4695 45.111578947 47.316521739 53.1675 53.707142857 56.347727273 60.857142857 58.859090909 60.570454545 60.626190476 62.514285714 72.367391304 78.85 84.5475 84.99047619 86.671428571 86.729545455 85.829545455 83.261904762 84.952173913 102.39318182 109.75238095 112.65 107.84285714
"Degrenne" 44.072380952 60.050952381 73.845652174 54.125 54.315909091 55.980952381 52.895 52.47173913 56.345238095 51.938636364 46.197727273 41.841578947 44.339090909 40.0625 32.571818182 31.198421053 36.754090909 30.5495 21.281818182 21.534347826 13.048 15.649565217 17.244090909 21.16 18.050454545 16.5205 14.92 12.58952381 12.214090909 9.0945 5.3004761905 3.7477272727 2.4876190476 1.4717391304 1.7314285714 3.106 2.3095454545 1.6 1.3080952381 1.457 2.2580952381 2.6376190476 2.1417391304 1.925 2.1227272727 2.2860869565 3.534 2.9819047619 3.0685714286 2.9215 2.8165217391 2.827 2.5978947368 2.4240909091 2.235 2.0690909091 1.7833333333 1.6038095238 1.7913636364 1.9639130435 2.1995238095 2.0685 2.0152380952 2.170952381 2.2281818182 2.4731818182 2.4076190476 2.3573913043 2.4836363636 2.4823809524 2.0709090909 1.8323809524
"Guyenne" 33.701904762 31.875238095 28.575217391 25.060555556 24.632727273 24.451904762 23.666 22.763913043 20.298095238 21.281818182 21.145 21.851578947 21.906818182 19.3685 18.781818182 19.096315789 21.031818182 21.9545 21.013181818 21.102173913 19.669 17.662608696 18.702272727 19.004444444 18.320909091 17.923 18.087 18.495714286 18.619090909 17.8585 16.946363636 16.476190476 15.656 14.585217391 12.859444444 10.769473684 10.664545455 10.8175 10.5005 10.6975 10.946666667 10.604285714 10.895454545 11.285714286 11.038636364 10.978636364 9.8152631579 8.3626315789 8.8 9.612 12.190434783 11.279473684 11.673333333 11.380952381 8.2304761905 6.7540909091 6.7929411765 6.1233333333 5.544375 5.287 5.8366666667 6.4316666667 8.2085714286 8.4757142857 8.1909090909 8.0184210526 7.5411764706 7.2186956522 7.2413636364 7.2438095238 7.3568181818 7.4185714286
"Havas" 91.12 81.645714286 77.475652174 78.455555556 79.617272727 84.661904762 92.1025 91.917391304 94.238095238 88.872727273 89.468181818 87.339473684 85.454545455 89.33 87.586363636 88.668421053 91.572727273 89.83 86.702272727 85.936956522 79.24 79.367391304 85.509090909 85.161111111 85.825 85.2425 85.2125 84.514285714 88.129545455 87.34 83.073913043 82.847727273 82.954761905 78.469565217 79.264285714 80.0275 77.6 73.645 67.842857143 71.18 75.154761905 80.714285714 83.443478261 88.983333333 92.145454545 93.586956522 92.215 90.530952381 90.404761905 90.12 93.760869565 94.0325 93.604761905 94.047727273 93.859090909 92.509090909 92.634090909 81.154761905 80.918181818 83.143478261 86.814285714 88.9375 87.004761905 87.29047619 89.402272727 95.5 92.983333333 93.747826087 90.372727273 87.116666667 84.518181818 82.776190476
"Delfingen" 21.898095238 27.220952381 30.039565217 23.911666667 24.106363636 23.74 24.639 23.480434783 22.834761905 17.549545455 17.462272727 16.128947368 16.113181818 15.505 15.255 13.686315789 15.368636364 14.0375 11.447727273 11.05826087 7.8975 7.2773913043 8.9918181818 8.5044444444 8.8181818182 8.3055 10.058 9.9542857143 8.2468181818 6.878 5.5739130435 4.5790909091 3.8333333333 3.8826086957 4.650952381 4.541 3.9140909091 3.2915 2.6461904762 2.9095 3.649047619 4.0604761905 4.082173913 3.9495238095 4.4 4.1282608696 4.1965 4.5833333333 4.9928571429 4.7105 4.462173913 4.612 4.3985714286 4.2509090909 3.98 3.9054545455 4.0354545455 4.2557142857 4.1672727273 4.1086956522 4.1128571429 4.3235 4.5171428571 4.5176190476 4.9159090909 4.7331818182 4.4576190476 4.5095652174 4.2004545455 4.1357142857 3.9336363636 3.7923809524
"H-Maire" 47.097142857 42.634761905 39.695652174 37.497647059 35.693181818 35.055714286 33.152 32.735217391 32.464761905 28.15 23.630454545 22.936842105 25.026363636 23.4775 20.367727273 21.376842105 18.211818182 15.9745 18.857727273 18.887391304 16.5565 12.12826087 12.605909091 11.392222222 12.282272727 13.4985 15.214 15.248095238 15.521818182 15.223 14.387826087 14.745454545 14.293809524 14.422608696 17.930952381 20.031 20.142272727 17.893 15.369047619 18.380526316 19.732857143 19.752857143 17.73 17.777142857 18.319545455 17.627826087 16.911 17.262857143 17.615238095 17.1595 16.293913043 16.2305 15.943333333 15.342727273 15.842727273 15.793181818 14.223636364 15.631428571 14.991363636 13.654347826 13.409047619 13.8405 13.870952381 14.274761905 14.064090909 13.353636364 13.133333333 13.106956522 13.751363636 14.28952381 14.195 13.648095238
"Hf" 139.39047619 140.30952381 138.43043478 144.06666667 152.27272727 145.97619048 144.085 144.24347826 158.95714286 158.03636364 169.24090909 156.8 146.39545455 152.075 144.13181818 144.5 163.99090909 165.59 161.18181818 165.09565217 138.63 138.80434783 157.63181818 170.35555556 175.69545455 164.9 170.43 168.88571429 172.80909091 165.47 150.98695652 141.03636364 136.20952381 138.16086957 148.1 142.93 133.88636364 125.66 117.85238095 120.825 126.14761905 128.1952381 125.64782609 128.95238095 138.96363636 141.38695652 154.32 151.85238095 155.35714286 158.35 159.99130435 170.4 164.87142857 161.31818182 160.82272727 156.15454545 157.25909091 151.92857143 146.40454545 142.7 145.34761905 157.11 160.22857143 152.71428571 153.54545455 163.87272727 167.9952381 163.49130435 185.07272727 187.39047619 191.56363636 204.97619048
"Hi-Media" 27.081904762 26.679047619 28.000869565 25.426666667 27.476818182 24.134761905 23.519 24.368695652 24.438571429 23.416363636 20.782727273 16.514210526 16.691363636 14.584 13.898636364 13.695789474 13.980454545 13.6545 13.116818182 13.006521739 12.0875 10.875217391 7.115 7.2777777778 8.6831818182 7.741 8.045 9.2533333333 9.5668181818 9.3715 7.442173913 7.7572727273 6.8780952381 5.5926086957 5.1380952381 5.4575 4.550952381 3.6215384615 3.8276190476 4.6605555556 4.9085714286 5.6804761905 6.6433333333 7.0676190476 7.18 9.6104347826 10.3935 12.112380952 13.715714286 16.2905 17.720434783 17.8765 17.601428571 17.523181818 18.232727273 17.876363636 17.161818182 20.756666667 23.281818182 24.965217391 25.836666667 29.4905 34.74952381 35.001904762 41.586818182 51.931818182 51.24952381 49.526956522 49.088181818 43.48952381 37.892272727 42.895714286
"Optical" 16.498095238 23.171 36.832727273 31.381111111 29.46 25.933333333 24.1175 27.122173913 28.874285714 27.288636364 25.300454545 22.583684211 21.703181818 23.7425 23.197727273 27.343157895 29.184545455 26.29 26.393181818 27.527826087 23.1865 22.18173913 24.406363636 25.989444444 28.884090909 30.3305 31.364 33.642380952 31.167727273 27.9385 25.227391304 22.771428571 19.388095238 15.432173913 17.027142857 16.8595 14.980909091 8.447 6.625 5.7595 8.3723809524 8.4176190476 7.7940909091 8.7719047619 11.318636364 10.024782609 11.2095 9.8142857143 7.1676190476 6.4425 7.0526086957 6.244 5.3752380952 5.8618181818 6.1254545455 6.488 6.4163636364 7.4428571429 7.7677272727 8.0308695652 8.420952381 8.566 8.6471428571 9.4757142857 9.42 9.4881818182 9.0704761905 9.3639130435 9.3604545455 10.37047619 10.316363636 10.09047619
"HC-Deauv" 9.3214285714 10.577142857 13.756956522 13.722222222 13.562272727 14.2 14.6595 14.313043478 14.958571429 10.754545455 10.038636364 9.1557894737 7.2240909091 8.2885 7.0709090909 7.7836842105 10.732272727 8.707 6.3081818182 6.7891304348 6.3605 5.4395652174 4.1459090909 4.1583333333 4.4963636364 3.5815 3.6795 3.6414285714 3.0459090909 2.574 1.7591304348 1.8904545455 2.0247619048 1.7817391304 1.8747619048 2.158 1.9859090909 2.1655 2.1076190476 2.8885 3.6433333333 4.2847619048 4.0826086957 3.9761904762 4.3163636364 4.322173913 4.601 4.3571428571 4.0561904762 3.9095 3.9156521739 3.755 3.729047619 4.0236363636 3.9963636364 3.7 3.13 3.0514285714 3.4754545455 3.715 4.1838095238 4.7115 4.91 5.7033333333 6.2072727273 6.1113636364 6.1523809524 6.9495652174 9.9654545455 10.165238095 8.6890909091 9.1566666667
"Idi" 3.23 5.0082352941 4.4213043478 4.6088888889 5.833 5.7433333333 5.8985 6.7791304348 6.1785714286 6.5886363636 7.7059090909 7.3173684211 7.7436363636 8.1295 8.6645454545 8.9678947368 9.6868181818 8.6185 8.6686363636 8.2126086957 6.2925 5.732173913 7.1722727273 7.085 8.1209090909 9.342 9.814 9.7919047619 9.2004545455 7.9055 5.8573913043 5.0790909091 4.1233333333 3.98 3.9823809524 4.181 4.1281818182 4.1685 3.6975 3.2836842105 3.1578947368 3.1085714286 3.84 3.8776190476 4.3809090909 5.6382608696 6.0175 5.9657142857 5.6928571429 6.4015 6.3747826087 6.5845 8.259047619 11.182272727 13.546818182 13.049545455 12.252272727 13.751428571 15.112272727 16.735217391 19.487142857 23.115 21.979047619 22.954285714 22.822727273 23.628181818 25.554285714 26.552608696 29.76 33.866190476 33.026363636 37.654761905
"Prof-Med" 24.596190476 23.672 20.429565217 20.280555556 24.507272727 22.8535 20.551 22.131304348 22.976666667 24.822727273 24.307272727 22.201052632 23.208181818 24.6415 24.751818182 25.316842105 27.274090909 25.6395 25.617272727 26.416956522 24.0335 23.526956522 23.638636364 23.613333333 25.917272727 26.5485 26.9725 26.751904762 26.991363636 25.88 23.513913043 23.206818182 22.986190476 21.021304348 22.333809524 23.2815 23.625714286 23.226 22.524 21.6735 20.414761905 20.405714286 21.318695652 21.686666667 22.175454545 22.406521739 23.237 22.5185 22.023157895 22.0955 22.615217391 24.7245 25.374761905 24.48 23.322727273 22.734090909 23.832727273 24.672380952 24.905 25.709130435 29.370952381 30.968 32.12 31.351428571 30.033333333 29.268181818 29.360952381 31.174347826 34.848636364 36.63047619 36.604545455 36.202857143
"Ige-Xao" 32.18047619 75.578095238 84.427272727 52.003888889 36.110909091 36.833809524 33.1625 34.739565217 33.3375 18.078636364 22.594545455 20.76 16.276818182 13.537 10.743636364 9.1605263158 4.9731818182 4.293 2.7959090909 1.8234782609 1.1668421053 1.6952631579 3.0159090909 1.8857142857 1.5631818182 0.8475 0.9195 1.0038095238 0.8977272727 0.674 0.757826087 0.8013636364 0.7004761905 0.6304347826 0.6861904762 0.768 0.725 0.6741666667 0.4966666667 0.4107142857 0.4594117647 0.5944444444 0.585625 0.6516666667 0.7315 0.8775 1.3655 1.150952381 1.2776190476 1.1426315789 1.1423809524 1.21 1.1894736842 1.26125 1.3305263158 1.2864705882 1.2944444444 1.2557894737 1.2336842105 1.3869565217 1.5642857143 1.8105 1.7880952381 1.6438095238 1.7555 2.0581818182 2.0715 2.3804347826 2.59 2.3752380952 2.0859090909 2.0405
"Iliad" 13.097619048 17.322857143 25.159047619 20.296111111 21.499090909 20.104761905 16.757 16.358695652 22.733809524 19.052272727 19.004545455 16.714736842 16.955 14.617 10.901818182 9.8321052632 9.7713636364 9.3529411765 9.2772727273 8.7343478261 7.3675 7.932173913 8.6122727273 9.5411111111 9.6463636364 9.435 10.2635 10.41047619 10.133181818 11.1915 11.163478261 10.557272727 10.258095238 8.7743478261 9.0471428571 9.8755 9.8431818182 9.459 9.6038095238 9.629 9.7247619048 11.157142857 11.806521739 11.773809524 12.358181818 12.41173913 13.274 15.096666667 16.572380952 18.1635 18.796956522 18.97 19.407619048 18.624090909 18.593181818 17.931818182 17.583181818 17.435238095 18.810909091 19.578695652 21.305238095 25.2885 26.032380952 25.885238095 25.736818182 26.356818182 27.718095238 27.529565217 27.53 24.94 25.512272727 24.38
"Imerys" 33.933333333 55.638095238 83.973913043 52.135555556 35.71 46.956190476 46.45 53.376521739 68.4 51.412727273 37.728181818 33.476842105 28.646818182 26.341 15.911363636 14.128947368 20.419545455 19.4855 12.343181818 10.722608696 6.3065 7.4252173913 9.7045454545 13.044444444 14.359090909 15.217 17.0635 13.174761905 9.2190909091 6.4505 5.3295652174 4.1136363636 3.1814285714 3.5765217391 6.4461904762 6.62 6.1372727273 4.5565 3.9342857143 4.441 5.890952381 7.6795238095 8.0626086957 7.9171428571 10.085909091 10.261304348 11.982 10.60047619 10.012857143 9.2665 8.7986956522 9.066 9.1457142857 9.8627272727 9.7990909091 8.0695454545 8.0618181818 8.7280952381 9.8009090909 9.4469565217 10.256666667 11.4085 11.041904762 10.98952381 9.8218181818 10.645454545 11.136190476 12.373913043 12.874545455 14.266666667 13.016818182 14.334285714
"I-France" 36.693333333 33.257142857 31.994347826 32.141666667 33.741818182 32.287619048 31.8825 33.115217391 31.62 27.030909091 28.550909091 29.921578947 30.537272727 29.9505 28.989545455 27.912105263 30.262272727 29.859 29.101818182 29.206956522 24.9315 25.351304348 25.364545455 26.860555556 28.065454545 28.8645 31.302 32.756190476 33.048636364 31.2965 30.754347826 31.906363636 31.389047619 29.969130435 30.476190476 30.216 28.880454545 25.949 25.645238095 28.162 30.404285714 31.628095238 32.333043478 35.465238095 38.318181818 40.816956522 40.921 41.502857143 42.161428571 43.3375 46.627391304 48.8845 46.897142857 48.005909091 47.270909091 50.931818182 51.822727273 55.423809524 57.195454545 59.854347826 62.280952381 63.3225 59.966666667 57.788095238 56.872727273 58.397727273 57.64047619 61.226086957 61.497727273 61.433333333 57.881818182 60.552380952
"I-Hotel" 52.142105263 53.147619048 53.193181818 53.103125 51.943181818 50.454761905 51.65 52.034782609 52.49047619 52.413636364 54.493181818 58.821052632 57.818181818 57.3575 57.677272727 57.389473684 56.768181818 57.905 57.295454545 57.354761905 55.35 55.569565217 57.406818182 64.066666667 64.906818182 64.9375 65.266666667 65.225 65.1225 64.331578947 64.30952381 63.94 64.616666667 64.315217391 65.069047619 66.538888889 67.145454545 66.9075 66.530952381 66.745 66.27 67.216666667 67.273913043 67.152380952 67.321428571 67.358695652 67.7175 68.4 68.623809524 68.8275 69.039130435 69.3875 69.345238095 69.185714286 69.495454545 69.576190476 69.172727273 68.869047619 69.931818182 71.376086957 71.957142857 72.4525 72.935714286 72.795238095 72.5 72.704545455 72.704761905 72.739130435 72.829545455 72.845238095 72.85 72.616666667
"Infotel" 33.454761905 46.058571429 49.82826087 38.068333333 32.163181818 30.340952381 26.5975 27.09173913 31.539047619 23.302727273 24.915454545 20.711578947 19.776363636 19.804 16.405909091 18.792105263 22.348636364 20.672 17.747272727 17.469130435 10.617 9.1895652174 14.035454545 14.849444444 14.746363636 12.27 12.369 10.9 7.4636363636 4.5255 4.2482608696 4.0931818182 2.8871428571 2.3460869565 3.6057142857 3.324 3.2740909091 3.203 2.4442857143 3.0825 5.639047619 5.5185714286 5.0326086957 4.8685714286 5.0009090909 4.7777272727 4.963 4.8795238095 4.4366666667 3.7525 3.5082608696 3.287 2.5628571429 2.2754545455 1.9959090909 1.3954545455 1.4695454545 1.3619047619 1.455 1.2082608696 1.3042857143 1.7295 1.6447619048 1.3495238095 1.2186363636 1.495 1.6938095238 1.5265217391 1.4609090909 1.5233333333 1.4240909091 1.4057142857
"Groep" 68.795238095 131.23809524 146.27826087 101.54444444 96.409090909 93.895238095 78.4475 80.069565217 87.721428571 60.972727273 50.997727273 39.696842105 38.007727273 42.3285 36.985454545 34.287894737 38.270909091 33.405 28.873181818 27.981304348 20.1205 24.505652174 28.073636364 27.636666667 29.011818182 27.315 30.2085 31.649047619 28.275454545 24.2455 22.860434783 19.185714286 17.181428571 13.175217391 14.701428571 15.246 15.351818182 15.7705 16.669047619 17.203 20.558095238 23.227142857 25.564782609 25.693333333 26.081363636 27.639565217 34.494 35.126666667 35.263333333 35.3945 36.710869565 37.4695 38.023809524 37.153181818 36.611363636 36.131363636 35.811363636 36.021904762 38.584545455 37.135652174 38.571428571 44.2555 44.208095238 43.387142857 41.531363636 42.134545455 42.826190476 43.240869565 43.902727273 43.504285714 44.492272727 46.414285714
